statement,source,link,veracity,text,class
"Sen. Kamala Harris is ""supporting the animals of MS-13.""",Donald Trump,/web/20180705082623/https://www.politifact.com/california/statements/2018/jul/03/donald-trump/pants-fire-white-house-claim-sen-harris-supporting/,Pants on Fire!,sen kamala harris support animal ms 13 ,0
"Says Ronald Reagan said immigrants ""brought with them courage and the values of family, work, and freedom. Let us pledge to each other that we can make America great again.""",Becoming American Initiative,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/03/becoming-american-initiative/did-ronald-reagan-say-immigrants-made-america-grea/,Mostly True,say ronald reagan say immigrant   bring courage value family work freedom let pledge america great ,1
"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",Viral image,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jul/03/viral-image/viral-image-criticizing-democrats-featured-fabrica/,Pants on Fire!,say democratic senator demand supreme court nominee unduly influence u s constitution ,0
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/03/corey-stewart/corey-stewart-falsely-claims-sen-tim-kaine-wants-d/,Pants on Fire!, tim kaine want border want rid immigration custom enforcement basically border patrol ,0
"""George H.W. Bush has died at 94.""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/hoax-website-says-george-h-w-bush-died-he-didnt/,Pants on Fire!, george h w bush die 94 ,0
"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/larry-kudlow/larry-kudlow-wrong-about-deficits-falling-rapidly-/,Pants on Fire!, deficit come come rapidly ,0
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-base-describing-gdp-growth-his-watch/,False, watch gdp number start low number right hit 3 2 percent think possible ,0
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-wrong-mercedes-bmw-import-cars-us-mil/,False, european union … send mercede send million bmws car million ,0
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/websites-wrongly-claim-man-arrested-child-sex-char/,False, clinton campaign official arrest fbi child rape trafficking charge,0
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/jeff-sessions/jeff-sesssions-false-claim-80-percent-asylum-appli/,False, court find 80 percent file asylum qualified merit relief ,0
